t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,SynchronousMachine_machine_1_omega,SynchronousMachine_machine_1_te,SynchronousMachine_machine_1_ia,SynchronousMachine_machine_1_p,LineLumped_line_1_2_i12a
2.7500000000000000e-02,-1.6447617726430346e+05,-1.1433898141324965e+05,2.7972063719637477e+05,-1.7980793981624953e+05,-9.6716232867106635e+04,2.7856031472836941e+05,1.0000134110265866e+00,4.8863953452805065e-01,-2.5424571791448832e+02,2.4285809076506278e+08,-3.0899052546560881e+02
2.8000000000000001e-02,-1.1926245385094444e+05,-1.6138021444067493e+05,2.8002513660580118e+05,-1.3644482876799075e+05,-1.4440979374334123e+05,2.8358813531110081e+05,1.0000126817050088e+00,4.9142262179785307e-01,-1.5897453508560275e+02,2.4482856474501163e+08,-2.1636949894891634e+02
2.8500000000000001e-02,-6.8941050749750808e+04,-2.0138389878233767e+05,2.7126212638057559e+05,-8.8527363093735417e+04,-1.8754398118543267e+05,2.7827148464116070e+05,1.0000118240419587e+00,4.9250545484210062e-01,-5.4802782465513083e+01,2.4584724487915233e+08,-1.1716639488000402e+02
2.9000000000000001e-02,-1.6915806303425376e+04,-2.3550598429368628e+05,2.5208797771404387e+05,-3.7149676584112494e+04,-2.2355912824997332e+05,2.6336354191566922e+05,1.0000109505159713e+00,4.9175764305884684e-01,4.8342674216426218e+01,2.4615998529153046e+08,-1.2656528451650425e+01
2.9500000000000002e-02,3.6435439286212968e+04,-2.6013674563645350e+05,2.2465857613770000e+05,1.5306180889105824e+04,-2.5212191083311307e+05,2.3883058683116129e+05,1.0000101932380139e+00,4.8924351824123685e-01,1.5267738012239528e+02,2.4528956224121153e+08,9.1327882504012393e+01
2.9999999999999999e-02,8.7865981825116876e+04,-2.7657434281259443e+05,1.8859714788647820e+05,6.7484806430070181e+04,-2.7129116627262719e+05,2.0604821373456341e+05,1.0000096500015152e+00,4.8535591574900716e-01,2.4886421190740592e+02,2.4380269999839723e+08,1.9304085310366264e+02
3.0499999999999999e-02,1.3674921308427668e+05,-2.8221681031979079e+05,1.4640949863290612e+05,1.1703607198043603e+05,-2.8123230639637879e+05,1.6570379928976457e+05,1.0000094072601460e+00,4.8059524122882169e-01,3.3876290508528967e+02,2.4146107129248151e+08,2.8698842573837408e+02
3.1000000000000000e-02,1.8023706310340631e+05,-2.7871114522082126e+05,9.8509072711678731e+04,1.6263432664460674e+05,-2.8078081755580171e+05,1.1969175925024821e+05,1.0000094905443635e+00,4.7568843763460456e-01,4.1413946590321098e+02,2.3902743469496378e+08,3.7154382294177060e+02
3.1500000000000000e-02,2.1777638401269939e+05,-2.6449977430893196e+05,4.7598683084225151e+04,2.0223535281369998e+05,-2.7072373037108645e+05,6.9241098352577668e+04,1.0000098966400619e+00,4.7127564513935827e-01,4.7708877873445761e+02,2.3644709852613392e+08,4.4207726028490544e+02
3.2000000000000001e-02,2.4714544474046011e+05,-2.4165877624836905e+05,-5.3875325963009955e+03,2.3482497276568291e+05,-2.5071711229349169e+05,1.6551754983417733e+04,1.0000105607124394e+00,4.6803509993604048e-01,5.2089348252832065e+02,2.3444436522522366e+08,4.9762810583562066e+02
3.2500000000000001e-02,2.6812207932691823e+05,-2.0959240486265192e+05,-5.7776363409723526e+04,2.5889606804638452e+05,-2.2216634698872617e+05,-3.6866704186969415e+04,1.0000113956561301e+00,4.6636717587588267e-01,5.4831714408613504e+02,2.3299303298723233e+08,5.3482240923532265e+02
3.3000000000000002e-02,2.7926334190596512e+05,-1.7075593374781508e+05,-1.0842061417850852e+05,2.7395303840703913e+05,-1.8546476262866557e+05,-8.8778863803749642e+04,1.0000122788588397e+00,4.6654867699427172e-01,5.5437989824098929e+02,2.3254529178621626e+08,5.5374301461845505e+02
3.3500000000000002e-02,2.8083254069525190e+05,-1.2533551787430423e+05,-1.5491399496369806e+05,2.7916580887089361e+05,-1.4251992106989876e+05,-1.3767550976766497e+05,1.0000130906740416e+00,4.6850766125840831e-01,5.4273629410780347e+02,2.3296940657484058e+08,5.5246683829027052e+02
3.4000000000000002e-02,2.7222026765418751e+05,-7.6024763032842064e+04,-1.9618305726013461e+05,2.7466084466089064e+05,-9.4287108561079120e+04,-1.8154664436214679e+05,1.0000137149850497e+00,4.7199568525454011e-01,5.1017307137221724e+02,2.3433182096875086e+08,5.3228691952734039e+02
3.4500000000000003e-02,2.5423124065897329e+05,-2.3559879127776796e+04,-2.3029224148381370e+05,2.6032839785287008e+05,-4.2992563690818810e+04,-2.1913248598762535e+05,1.0000140664936574e+00,4.7650544430792807e-01,4.6127616291899892e+02,2.3637054689761692e+08,4.9275124399567028e+02
3.5000000000000003e-02,2.2705890503032054e+05,2.9314493097695489e+04,-2.5647760023430779e+05,2.3692853465516429e+05,1.0066073373649209e+04,-2.4886280226628302e+05,1.0000140959153918e+00,4.8141418947038739e-01,3.9448231206591231e+02,2.3881532072506627e+08,4.3634924085826736e+02
