t,Bus_Bus_1_Vm,Genrou_DV1_speed
7.4583299999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.5000000000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.5416700000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.5833300000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.6249999999999996e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.6666699999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.7083299999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.7500000000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.7916700000000005e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.8333299999999995e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.8749999999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.9166700000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.9583300000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.0000000000000004e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.0416699999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.0833299999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.1250000000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.1666700000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.2083300000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.2499999999999996e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.2916699999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.3333299999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.3750000000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.4166700000000005e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.4583299999999995e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.4999999999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.5416700000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.5833300000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.6250000000000004e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.6666699999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.7083299999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.7500000000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.7916700000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.8333300000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.8749999999999996e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.9166699999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
8.9583299999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.0000000000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.0416700000000005e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.0833299999999995e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.1249999999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.1666700000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.2083300000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.2500000000000004e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.2916699999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.3333299999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.3750000000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.4166700000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.4583300000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.4999999999999996e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.5416699999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.5833299999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.6250000000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.6666700000000005e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.7083299999999995e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.7499999999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.7916700000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.8333300000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.8750000000000004e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.9166699999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
9.9583299999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000004769999999e+00,1.0000000000000000e+00
1.0041670000000000e+00,1.5128844000000001e-02,1.0006827119999999e+00
1.0083329999999999e+00,1.4973078000000001e-02,1.0013633970000000e+00
1.0125000000000000e+00,1.4841928000000001e-02,1.0020425319999999e+00
1.0166670000000000e+00,1.4729479000000000e-02,1.0027203560000000e+00
1.0208330000000001e+00,1.4631276000000000e-02,1.0033967500000001e+00
1.0249999999999999e+00,1.4543867000000000e-02,1.0040721889999999e+00
1.0291669999999999e+00,1.4464660000000001e-02,1.0047466750000000e+00
1.0333330000000001e+00,1.4391631000000000e-02,1.0054199699999999e+00
1.0375000000000001e+00,1.4323140000000000e-02,1.0060925480000000e+00
1.0416669999999999e+00,1.4257919000000001e-02,1.0067644120000001e+00
1.0458330000000000e+00,1.4194945000000000e-02,1.0074352030000000e+00
1.0500000000000000e+00,1.4133333999999999e-02,1.0081052779999999e+00
1.0541670000000001e+00,1.4072391000000000e-02,1.0087746380000000e+00
1.0583330000000000e+00,1.4011139000000001e-02,1.0094430450000000e+00
1.0625000000000000e+00,1.3950209999999999e-02,1.0101108550000000e+00
1.0666670000000000e+00,1.3887996000000000e-02,1.0107778310000000e+00
1.0708329999999999e+00,1.3824509000000000e-02,1.0114438530000001e+00
1.0750000000000000e+00,1.3759367999999999e-02,1.0121091600000001e+00
1.0791670000000000e+00,1.3692266999999999e-02,1.0127736329999999e+00
1.0833330000000001e+00,1.3622929000000001e-02,1.0134372709999999e+00
1.0874999999999999e+00,1.3551049000000001e-02,1.0141000750000000e+00
1.0916669999999999e+00,1.3476389000000000e-02,1.0147621630000001e+00
1.0958330000000001e+00,1.3398723000000000e-02,1.0154231789999999e+00
1.1000000000000001e+00,1.3398723000000000e-02,1.0160835980000000e+00
1.1041669999999999e+00,8.8047874000000004e-01,1.0152623650000001e+00
1.1083330000000000e+00,8.9023459000000005e-01,1.0144935850000001e+00
1.1125000000000000e+00,8.9875972299999995e-01,1.0137621160000001e+00
1.1166670000000001e+00,9.0612518799999997e-01,1.0130562780000001e+00
1.1208330000000000e+00,9.1242742499999996e-01,1.0123671290000000e+00
1.1250000000000000e+00,9.1777706100000001e-01,1.0116870400000000e+00
1.1291670000000000e+00,9.2228168200000005e-01,1.0110107660000001e+00
1.1333329999999999e+00,9.2604595400000000e-01,1.0103342529999999e+00
1.1375000000000000e+00,9.2917060900000004e-01,1.0096544030000001e+00
1.1416670000000000e+00,9.3174594600000005e-01,1.0089693070000001e+00
1.1458330000000001e+00,9.3385452000000002e-01,1.0082778930000000e+00
1.1499999999999999e+00,9.3557196899999995e-01,1.0075792070000000e+00
