frequency_hz,quantity,row,col,label,real,imag,mag,phase_deg,unit
1.094396791108e0,Z,0,0,Z_aa,1.668310744624e-1,1.923801744313e-2,1.679366211445e-1,6.577971788787e0,ohm/km
1.094396791108e0,Z,0,1,Z_ab,8.198766048375e-4,1.184641058542e-2,1.187474805650e-2,8.604093733056e1,ohm/km
1.094396791108e0,Z,0,2,Z_ac,8.199970281177e-4,1.100317436239e-2,1.103368665385e-2,8.573798619334e1,ohm/km
1.094396791108e0,Z,1,0,Z_ba,8.198766048375e-4,1.184641058542e-2,1.187474805650e-2,8.604093733056e1,ohm/km
1.094396791108e0,Z,1,1,Z_bb,1.668308329603e-1,1.923813443074e-2,1.679363946338e-1,6.578020878067e0,ohm/km
1.094396791108e0,Z,1,2,Z_bc,8.198766048375e-4,1.184641058542e-2,1.187474805650e-2,8.604093733056e1,ohm/km
1.094396791108e0,Z,2,0,Z_ca,8.199970281177e-4,1.100317436239e-2,1.103368665385e-2,8.573798619334e1,ohm/km
1.094396791108e0,Z,2,1,Z_cb,8.198766048375e-4,1.184641058542e-2,1.187474805650e-2,8.604093733056e1,ohm/km
1.094396791108e0,Z,2,2,Z_cc,1.668310744624e-1,1.923801744313e-2,1.679366211445e-1,6.577971788787e0,ohm/km
1.094396791108e0,Y,0,0,Y_aa,0.000000000000e0,5.862048997421e-8,5.862048997421e-8,9.000000000000e1,S/km
1.094396791108e0,Y,0,1,Y_ab,0.000000000000e0,-1.748115377301e-8,1.748115377301e-8,-9.000000000000e1,S/km
1.094396791108e0,Y,0,2,Y_ac,0.000000000000e0,-1.013769941798e-8,1.013769941798e-8,-9.000000000000e1,S/km
1.094396791108e0,Y,1,0,Y_ba,0.000000000000e0,-1.748115377301e-8,1.748115377301e-8,-9.000000000000e1,S/km
1.094396791108e0,Y,1,1,Y_bb,0.000000000000e0,6.174054914672e-8,6.174054914672e-8,9.000000000000e1,S/km
1.094396791108e0,Y,1,2,Y_bc,0.000000000000e0,-1.748115377301e-8,1.748115377301e-8,-9.000000000000e1,S/km
1.094396791108e0,Y,2,0,Y_ca,0.000000000000e0,-1.013769941798e-8,1.013769941798e-8,-9.000000000000e1,S/km
1.094396791108e0,Y,2,1,Y_cb,0.000000000000e0,-1.748115377301e-8,1.748115377301e-8,-9.000000000000e1,S/km
1.094396791108e0,Y,2,2,Y_cc,0.000000000000e0,5.862048997421e-8,5.862048997421e-8,9.000000000000e1,S/km
1.108590652993e0,Z,0,0,Z_aa,1.668472869401e-1,1.947975195863e-2,1.679805878536e-1,6.659247741824e0,ohm/km
1.108590652993e0,Z,0,1,Z_ab,8.360715392306e-4,1.199228019427e-2,1.202138926566e-2,8.601193572204e1,ohm/km
1.108590652993e0,Z,0,2,Z_ac,8.361944329038e-4,1.113810654433e-2,1.116945112897e-2,8.570656800265e1,ohm/km
1.108590652993e0,Z,1,0,Z_ba,8.360715392306e-4,1.199228019427e-2,1.202138926566e-2,8.601193572204e1,ohm/km
1.108590652993e0,Z,1,1,Z_bb,1.668470404815e-1,1.947987248772e-2,1.679803570349e-1,6.659298323652e0,ohm/km
1.108590652993e0,Z,1,2,Z_bc,8.360715392306e-4,1.199228019427e-2,1.202138926566e-2,8.601193572204e1,ohm/km
1.108590652993e0,Z,2,0,Z_ca,8.361944329038e-4,1.113810654433e-2,1.116945112897e-2,8.570656800265e1,ohm/km
1.108590652993e0,Z,2,1,Z_cb,8.360715392306e-4,1.199228019427e-2,1.202138926566e-2,8.601193572204e1,ohm/km
1.108590652993e0,Z,2,2,Z_cc,1.668472869401e-1,1.947975195863e-2,1.679805878536e-1,6.659247741824e0,ohm/km
1.108590652993e0,Y,0,0,Y_aa,0.000000000000e0,5.938077284879e-8,5.938077284879e-8,9.000000000000e1,S/km
1.108590652993e0,Y,0,1,Y_ab,0.000000000000e0,-1.770787691789e-8,1.770787691789e-8,-9.000000000000e1,S/km
1.108590652993e0,Y,0,2,Y_ac,0.000000000000e0,-1.026918107667e-8,1.026918107667e-8,-9.000000000000e1,S/km
1.108590652993e0,Y,1,0,Y_ba,0.000000000000e0,-1.770787691789e-8,1.770787691789e-8,-9.000000000000e1,S/km
1.108590652993e0,Y,1,1,Y_bb,0.000000000000e0,6.254129786451e-8,6.254129786451e-8,9.000000000000e1,S/km
1.108590652993e0,Y,1,2,Y_bc,0.000000000000e0,-1.770787691789e-8,1.770787691789e-8,-9.000000000000e1,S/km
1.108590652993e0,Y,2,0,Y_ca,0.000000000000e0,-1.026918107667e-8,1.026918107667e-8,-9.000000000000e1,S/km
1.108590652993e0,Y,2,1,Y_cb,0.000000000000e0,-1.770787691789e-8,1.770787691789e-8,-9.000000000000e1,S/km
