omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5
1098.196027382591,4.715127597315702e-08,3.7238540079960012e-06,4.933475569354971e-08,3.7187064608575436e-06,5.375434429777144e-08,3.711876972230902e-06,5.233927614561861e-08,3.711433514005802e-06,6.711893885779408e-08,3.7593534198212044e-06,7.714870506204292e-07,4.778876809148756e-06
1143.3517698280332,4.826700692288079e-08,3.876160876473801e-06,5.0314793676415e-08,3.871112140327172e-06,5.4673859184712675e-08,3.863893143710497e-06,5.325219534741012e-08,3.863366454178799e-06,6.944635176566457e-08,3.912649641107714e-06,7.915741572765035e-07,4.949798334147143e-06
1190.3642309511577,4.936590661313187e-08,4.0346791346482026e-06,5.137833676663024e-08,4.029739830289755e-06,5.562385963970117e-08,4.022120735145888e-06,5.419710422435246e-08,4.0215107809285955e-06,7.18771967130339e-08,4.072145041180291e-06,8.114786066930656e-07,5.127392078435293e-06
1239.309755510381,5.043451645885384e-08,4.199669140910696e-06,5.2536217288567047e-08,4.194838890932967e-06,5.660332785839641e-08,4.186814757292081e-06,5.517284036554375e-08,4.186121185406577e-06,7.441095023237485e-08,4.23808903657597e-06,8.311792442919217e-07,5.311990874510733e-06
1290.2678274161112,5.146008619300421e-08,4.371409595488421e-06,5.3798008115850204e-08,4.3666616413755136e-06,5.761108074024583e-08,4.358240479266502e-06,5.617816368631148e-08,4.357462717260009e-06,7.704652518531692e-08,4.4107417905575e-06,8.506635181108572e-07,5.503928809490374e-06
1343.321198806739,5.243675083061561e-08,4.55019576467641e-06,5.516641209856171e-08,4.545463697054088e-06,5.864604745361962e-08,4.536673166314184e-06,5.721194758022042e-08,4.535810404734886e-06,7.97821774859282e-08,4.590372568500281e-06,8.699189887803098e-07,5.703566527232503e-06
1398.5560244319877,5.337022401367029e-08,4.736338173799138e-06,5.663197976041342e-08,4.73151188587283e-06,5.970691452799983e-08,4.722401247083049e-06,5.8272852777551676e-08,4.721452446967325e-06,8.261553363892742e-08,4.777264232368741e-06,8.889433097751278e-07,5.911265051481073e-06
1456.062001561853,5.4276681994434346e-08,4.930151241674847e-06,5.817479863154541e-08,4.9250918909711035e-06,6.079245786538849e-08,4.9157244556264974e-06,5.935964155137575e-08,4.914688353438255e-06,8.554355388133124e-08,4.971710596211428e-06,9.077367096274648e-07,6.12740640195349e-06
1515.9325156483283,5.517406874578648e-08,5.13195045314528e-06,5.977287665426869e-08,5.1265129814279045e-06,6.19013377701248e-08,5.1169547646342076e-06,6.047098121965688e-08,5.115829874057573e-06,8.856240368522414e-08,5.174017688523151e-06,9.263043157189146e-07,6.3523862563449055e-06
1578.2647919764756,5.607534422682877e-08,5.342059483709655e-06,6.140924934842505e-08,5.336107050439957e-06,6.303230684844228e-08,5.326419492942974e-06,6.16056377369276e-08,5.325204099775525e-06,9.166802344813205e-08,5.384507763511798e-06,9.446643740668447e-07,6.58659680753362e-06
1643.1600535510916,5.698813113479984e-08,5.560809829350812e-06,6.307279441521773e-08,5.554218855035078e-06,6.418447271991166e-08,5.544456173813677e-06,6.276273096962195e-08,5.543148341685067e-06,9.485522500945325e-08,5.603511988162051e-06,9.628258338361898e-07,6.83047764825622e-06
1710.7236854753774,5.791543881308009e-08,5.7885507578331365e-06,6.475551005754931e-08,5.781208791041809e-06,6.535604138896214e-08,5.771418908495501e-06,6.394054011445394e-08,5.770016474485485e-06,9.811811107839967e-08,5.831379818868671e-06,9.808159943290507e-07,7.084451401303074e-06
