Time,Bus1_Vm,Bus2_Vm,Bus3_Vm,Gen1_Speed,Gen2_Speed
7.916670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
7.958330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
8.000000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
8.041670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
8.083330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
8.125000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
8.166670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
8.208330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
8.250000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
8.291670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.333330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.375000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.416670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.458330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.500000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.541670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.583330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.625000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.666670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.708330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.750000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.791670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.833330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.875000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.916670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
8.958330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
9.000000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
9.041670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
9.083330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
9.125000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
9.166670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
9.208330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
9.250000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
9.291670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
9.333330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
9.375000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
9.416670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.458330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.500000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.541670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.583330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.625000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.666670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.708330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.750000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.791670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.833330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.875000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.916670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
9.958330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
1.000000000e+00,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
1.000000000e+00,1.0600000000000001e+00,8.2175499708956334e-01,1.4796061535609221e-04,9.9999986320891010e-01,9.9999992810004734e-01
1.004167000e+00,1.059999943e+00,8.202927110e-01,1.473940000e-04,1.000062704e+00,1.000325799e+00
1.008333000e+00,1.059999943e+00,8.189875480e-01,1.468610000e-04,1.000121474e+00,1.000651360e+00
1.012500000e+00,1.059999943e+00,8.178158400e-01,1.463590000e-04,1.000176668e+00,1.000976920e+00
1.016667000e+00,1.059999943e+00,8.167579170e-01,1.458870000e-04,1.000228524e+00,1.001302361e+00
1.020833000e+00,1.059999943e+00,8.157969120e-01,1.454430000e-04,1.000277519e+00,1.001627564e+00
1.025000000e+00,1.059999943e+00,8.149181010e-01,1.450250000e-04,1.000323892e+00,1.001952767e+00
1.029167000e+00,1.059999943e+00,8.141095040e-01,1.446310000e-04,1.000367641e+00,1.002277970e+00
1.033333000e+00,1.059999943e+00,8.133610490e-01,1.442610000e-04,1.000409126e+00,1.002602816e+00
1.037500000e+00,1.059999943e+00,8.126635550e-01,1.439120000e-04,1.000448585e+00,1.002927661e+00
1.041667000e+00,1.059999943e+00,8.120098110e-01,1.435840000e-04,1.000486016e+00,1.003252506e+00
1.045833000e+00,1.059999943e+00,8.113936190e-01,1.432740000e-04,1.000521541e+00,1.003576994e+00
