t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,LineLumped_line_1_2_i12a,LineLumped_line_1_2_i12b,LineLumped_line_1_2_i12c
4.3500000000000004e-02,-2.2347266357086407e+05,-3.5477128491937052e+04,2.6132903584187990e+05,-2.3450668929455167e+05,-1.7070440094714788e+04,2.5352588730210791e+05,-4.3004466440716749e+02,-1.0177611289347294e+02,5.4111668501402630e+02
4.3999999999999997e-02,-1.8827542775174777e+05,-8.8589314848198774e+04,2.7612763441016193e+05,-2.0155899517866559e+05,-6.9587491048221898e+04,2.7333258923925721e+05,-3.5612697101448470e+02,-2.0574478497172484e+02,5.6993732659085447e+02
4.4499999999999998e-02,-1.4560158465822312e+05,-1.3764738549992026e+05,2.8191920386744424e+05,-1.6139701101277370e+05,-1.1947379324393476e+05,2.8355220634299843e+05,-2.6899059616562226e+02,-3.0057934709392970e+02,5.7927498346455900e+02
4.4999999999999998e-02,-9.6511862477948423e+04,-1.8006167295975515e+05,2.7904340813535568e+05,-1.1572600625692644e+05,-1.6555842489789738e+05,2.8349450726685015e+05,-1.7289300694579757e+02,-3.8608871980267048e+02,5.6748890919481141e+02
4.5499999999999999e-02,-4.6267991336272433e+04,-2.1908254090926488e+05,2.6395844422492519e+05,-6.5778405523442998e+04,-2.0541693001151938e+05,2.7358573931027309e+05,-7.0571671471503720e+01,-4.5806661971154102e+02,5.3566115111518070e+02
4.5999999999999999e-02,7.1373081188325350e+03,-2.4842552614675841e+05,2.4107596493475916e+05,-1.3512855672597114e+04,-2.3802635825863507e+05,2.5397155446953623e+05,3.4669560195326184e+01,-5.1239982456538530e+02,4.8535608900939872e+02
4.6500000000000000e-02,6.0607308391320526e+04,-2.6845357531862101e+05,2.0997609498289099e+05,3.9077438082604684e+04,-2.6250978740248503e+05,2.2519594758903407e+05,1.3809232114321517e+02,-5.5014142295771455e+02,4.1718847370552368e+02
4.7000000000000000e-02,1.1010910317405312e+05,-2.8139585648372478e+05,1.6958421024791931e+05,9.0479574949966394e+04,-2.7730068252682540e+05,1.8865409720802991e+05,2.3692393550951556e+02,-5.6785891062232497e+02,3.3458615916455324e+02
4.7500000000000001e-02,1.5759533536252548e+05,-2.8194607527847256e+05,1.2510991643126986e+05,1.3858782650509613e+05,-2.8245028541583382e+05,1.4532796409893146e+05,3.2756834225476933e+02,-5.6463140232349519e+02,2.4034047768490760e+02
4.8000000000000001e-02,1.9895882571598422e+05,-2.7312883787669137e+05,7.5634863541833416e+04,1.8170577983950512e+05,-2.7774624082076980e+05,9.6777588673618302e+04,4.0607274286415475e+02,-5.4289762365476895e+02,1.3700472263643599e+02
4.8500000000000001e-02,2.3213820977477296e+05,-2.5617815544019293e+05,2.2351632367157803e+04,2.1856866735121066e+05,-2.6284828575387294e+05,4.4984273814145112e+04,4.7063909420172433e+02,-5.0092055354814454e+02,2.9314993565028086e+01
4.9000000000000002e-02,2.5897022427596437e+05,-2.2771524633696201e+05,-2.9833607836159732e+04,2.4754610767301000e+05,-2.3892036102206065e+05,-8.5538879547316465e+03,5.1850691795170394e+02,-4.4099701611528167e+02,-7.9478270195732875e+01
4.9500000000000002e-02,2.7544729149853758e+05,-1.9265494394498432e+05,-8.2167146752701199e+04,2.6775286549978127e+05,-2.0652572129953749e+05,-6.1781141633786596e+04,5.4760934174044212e+02,-3.6664789772802737e+02,-1.8584156346680845e+02
5.0000000000000003e-02,2.8181137322842231e+05,-1.5130626742061914e+05,-1.3192254122340129e+05,2.7861145816199412e+05,-1.6655202931556720e+05,-1.1268811686704789e+05,5.5781720917597340e+02,-2.7806276630205548e+02,-2.8510058827306989e+02
5.0500000000000003e-02,2.7973581058558600e+05,-1.0256559560363130e+05,-1.7547194497801177e+05,2.7943571331762150e+05,-1.2099660648194791e+05,-1.5976733214931481e+05,5.4803265387385056e+02,-1.7999391922259511e+02,-3.7452241438912455e+02
5.1000000000000004e-02,2.6623007050764357e+05,-5.2125249572728215e+04,-2.1432851636111728e+05,2.7042914945756574e+05,-7.1020406108615105e+04,-2.0111411673390001e+05,5.1863261104077674e+02,-7.6287270171594670e+01,-4.5084791518824176e+02
5.1500000000000004e-02,2.4366217139872734e+05,5.6593781139249347e+02,-2.4521019101921047e+05,2.5191586492060634e+05,-1.8388967737145784e+04,-2.3526890852231055e+05,4.7132333322704579e+02,3.1356641510204913e+01,-5.1075404496079580e+02
5.2000000000000005e-02,2.1345504799163135e+05,5.4576926126524188e+04,-2.6642802940241119e+05,2.2432511518592844e+05,3.4599541332177279e+04,-2.6123769913790160e+05,4.0694781616383000e+02,1.3710291071714772e+02,-5.5293840423270206e+02
5.2499999999999998e-02,1.7414418179768301e+05,1.0466377813951617e+05,-2.7973880757422320e+05,1.8890290725048198e+05,8.6584592340518895e+04,-2.7783828761383903e+05,3.2816249063537339e+02,2.3777224658341228e+02,-5.7551187200198535e+02
